RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
2203.7358,4858818.0,-0.031233975663781166,5.2372527,4.10205,1.5276611,6.266542,19.464273,900806.9,615188.44,552395.2,398.4375,375.0,1078.125,2
2231.5989,4982362.0,-0.015451015904545784,5.058794,4.0508327,1.511275,6.1219225,18.85005,820455.25,633205.9,570349.06,398.4375,421.875,1476.5625,2
1981.354,3927677.8,-0.09644828736782074,5.5846252,4.562453,1.510812,6.8930087,20.947378,530899.6,447981.94,444362.16,1945.3125,1125.0,421.875,2
2038.624,4157923.2,0.0692315623164177,5.183309,4.2956004,1.5093312,6.4834843,18.997988,536969.8,475010.66,449249.6,398.4375,1945.3125,1125.0,2
2014.7145,4061056.2,0.05303709954023361,5.3837743,4.346578,1.5338664,6.667071,19.862003,577834.8,491514.8,476132.78,398.4375,375.0,1945.3125,2
1992.9453,3973676.8,0.01729237288236618,5.531806,4.3940563,1.541025,6.771351,20.224167,530847.8,449659.03,412392.72,398.4375,1945.3125,1429.6875,2
2031.5558,4129234.8,0.05589589104056358,5.297908,4.310546,1.5290745,6.5911455,20.253603,646693.6,598079.6,482955.1,421.875,398.4375,1101.5625,2
1941.4774,3771169.0,-0.1571485549211502,5.3877635,4.1095643,1.5229789,6.25878,20.07989,790201.44,626607.56,384690.3,398.4375,375.0,3375.0,2
1953.8877,3819537.5,-0.14392194151878357,5.2604327,4.083462,1.5015926,6.1316967,19.38087,820955.25,657498.3,412388.97,398.4375,375.0,3375.0,2
1929.6327,3725153.5,-0.13698601722717285,5.453692,4.1347904,1.5164331,6.270133,19.875515,743709.6,544196.0,420210.06,398.4375,375.0,421.875,2
1927.2357,3715988.5,-0.22932161390781403,5.6617174,3.9612277,1.52818,6.0534687,18.812023,501720.8,488181.72,466567.97,398.4375,421.875,1945.3125,2
2016.613,4068446.2,-0.027205318212509155,6.194812,4.4432387,1.5647601,6.9526024,20.175858,685685.8,598293.8,519857.6,398.4375,1945.3125,375.0,2
2008.9312,4037773.5,-0.00041215019882656634,6.300125,4.460229,1.5828513,7.059879,20.622707,740897.06,590089.75,569997.06,398.4375,1945.3125,375.0,2
2008.1425,4034589.8,-0.007396487984806299,6.3044295,4.461981,1.582229,7.0598755,20.629515,719962.0,544651.8,536450.9,398.4375,1945.3125,2343.75,2
