TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
70293,1172,311,6168,1819,1107,18
70343,1172,264,6191,1819,1106,18
70343,1172,7206,6191,1819,1106,17
70343,1172,312,6169,1819,1105,18
70343,1172,2094,6191,1819,1106,19
77227,1172,264,6191,1819,1106,18
77227,1172,7203,6191,1819,1103,16
77227,1172,305,6188,1819,1107,18
77227,1172,314,6174,1819,1107,19
70345,1172,264,6191,1819,1107,19
70345,1172,7204,6191,1819,1104,19
70345,1172,314,6175,1819,1104,17
70345,1172,312,6192,1819,1107,19
70369,1172,265,6191,1820,1103,17
70369,1172,7200,6186,1819,1102,19
70369,1172,313,6172,1819,1107,17
70369,1172,313,6191,1819,1107,18
75799,1172,264,6192,1819,1105,18
75799,1172,7202,6191,1819,1103,18
75799,1172,2092,6191,1819,1107,19
75799,1172,312,6191,1818,1107,19
70382,1172,265,6191,1819,1103,17
70382,1172,7221,6191,1819,1108,18
70382,1172,310,6192,1818,1109,18
70382,1172,309,6191,1819,1109,19
70394,1172,264,6191,1820,1106,18
70394,1172,7207,6191,1819,1107,18
70394,1172,312,6191,1819,1107,19
70394,1172,312,6191,1819,1107,19
70331,1172,264,6171,1818,1108,19
70331,1172,7203,6191,1819,1110,18
70331,1172,309,6191,1819,1107,18
70331,1172,312,6191,1819,1108,18
70305,1172,264,6191,1819,1107,18
70305,1172,7207,6191,1819,1104,19
70305,1172,2100,6183,1818,1106,18
70305,1172,312,6167,1819,1105,19
77214,1173,264,6191,1820,1106,18
77214,1173,7207,6191,1819,1105,18
77214,1173,314,6179,1819,1106,18
77214,1173,305,6191,1819,1107,18
70331,1172,264,6184,1819,1108,18
70331,1172,7207,6192,1819,1104,19
70331,1172,314,6191,1819,1108,18
70331,1172,311,6192,1819,1108,18
70382,1172,265,6179,1819,1108,18
70382,1172,7201,6191,1819,1105,18
70382,1172,312,6192,1819,1107,18
70382,1172,311,6191,1819,1108,19
70357,1171,263,6191,1819,1109,18
70357,1171,8992,6191,1819,1104,16
70357,1171,305,6192,1819,1109,18
70357,1171,309,6176,1819,1110,18
70407,1172,264,6191,1819,1108,17
70407,1172,7208,6191,1820,1107,18
70407,1172,311,6191,1819,1106,17
70407,1172,312,6192,1819,1106,18
70432,1171,264,6191,1819,1104,18
70432,1171,7206,6185,1819,1104,19
70432,1171,311,6191,1818,1107,19
70432,1171,312,6187,1819,1107,19
70293,1172,264,6191,1819,1106,18
70293,1172,7204,6182,1819,1104,18
70293,1172,315,6191,1819,1107,18
70293,1172,312,6191,1819,1108,18
70381,1172,264,6192,1818,1105,19
70381,1172,8989,6192,1819,1105,17
70381,1172,312,6191,1819,1108,17
70381,1172,309,6191,1818,1109,18
77216,1172,264,6182,1818,1107,17
77216,1172,7207,6191,1819,1105,18
77216,1172,313,6184,1819,1105,19
77216,1172,313,6191,1819,1107,19
70330,1172,264,6191,1819,1104,19
70330,1172,7203,6191,1819,1104,18
70330,1172,316,6169,1819,1107,17
70330,1172,305,6186,1819,1108,19
70396,1172,264,6191,1819,1108,18
70396,1172,7203,6191,1819,1106,18
70396,1172,312,6191,1819,1105,19
70396,1172,313,6192,1819,1107,18
85255,1172,264,6173,1819,1107,19
85255,1172,7210,6191,1820,1106,18
85255,1172,312,6191,1819,1106,18
85255,1172,312,6171,1818,1108,19
70394,1172,265,6178,1819,1107,18
70394,1172,7201,6191,1819,1104,19
70394,1172,314,6191,1818,1109,18
70394,1172,310,6191,1819,1105,19
70433,1171,263,6191,1819,1106,18
70433,1171,7204,6192,1818,1106,18
70433,1171,312,6191,1820,1105,18
70433,1171,313,6172,1819,1107,19
70343,1172,264,6191,1819,1108,18
70343,1172,7205,6177,1819,1102,16
70343,1172,313,6191,1820,1108,18
70343,1172,2096,6192,1818,1106,18
70292,1172,265,6191,1819,1107,18
70292,1172,7203,6191,1819,1104,17
70292,1172,314,6192,1819,1106,18
70292,1172,311,6191,1819,1106,18
77216,1172,263,6191,1819,1107,18
77216,1172,7204,6191,1820,1104,16
77216,1172,306,6191,1819,1106,18
77216,1172,311,6191,1819,1106,19
70333,1172,264,6191,1820,1106,17
70333,1172,7208,6191,1820,1105,18
70333,1172,311,6191,1819,1106,18
70333,1172,312,6192,1819,1107,18
70369,1172,265,6179,1819,1106,19
70369,1172,7209,6191,1819,1105,16
70369,1172,305,6182,1818,1107,18
70369,1172,2099,6191,1819,1106,19
79451,1172,264,6176,1819,1106,18
79451,1172,7204,6173,1819,1105,19
79451,1172,315,6169,1819,1107,17
79451,1172,307,6191,1819,1108,19
75961,1172,264,6191,1819,1107,19
75961,1172,7202,6173,1819,1106,19
75961,1172,313,6191,1819,1110,18
75961,1172,308,6176,1819,1108,19
70482,1171,264,6191,1819,1110,18
70482,1171,7202,6191,1819,1107,18
70482,1171,312,6185,1819,1103,17
70482,1171,312,6192,1819,1106,19
70429,1172,265,6191,1819,1103,19
70429,1172,7209,6184,1819,1102,18
70429,1172,2099,6191,1819,1107,18
70429,1172,310,6177,1819,1109,19
