RMS,Mean,Median,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
30.088367,-4.219579,-0.21829599,887.505,0.0842883288860321,2.4462614,4.9865017,1.5299466,7.629081,0.38792688,37305.5546875,12615.8701171875,9137.0244140625,46.875,1992.1875,2109.375,1
35.858482,-1.8845971,-0.1398924,1282.2792,-0.09838178753852844,3.5918574,4.576248,1.6120877,7.3773136,0.3316615,43817.203125,23080.826171875,13392.3955078125,35.15625,2097.65625,1957.03125,1
36.408146,-1.4381387,-0.0717777,1323.4849,-0.09801457077264786,3.247984,4.5071597,1.5831642,7.135574,0.3102818,45944.4375,24144.28125,14508.9765625,35.15625,2085.9375,1957.03125,1
37.979927,-0.46254754,-0.35445964,1442.261,-0.01628308743238449,2.5649328,4.320633,1.5170761,6.5547285,0.2618231,51006.26171875,29340.3515625,15112.4072265625,35.15625,2085.9375,1968.75,1
40.168354,-5.0087633,-0.74386585,1588.4089,-0.38070711493492126,1.9656177,4.085239,1.5035822,6.1424923,0.22992584,46035.296875,36870.96484375,13505.0615234375,35.15625,2085.9375,1968.75,1
44.822567,1.4960043,-0.2447725,2006.8243,0.16962167620658875,1.4779258,4.0158052,1.4937924,5.9987793,0.19992007,46257.1484375,34536.44921875,10721.8525390625,23.4375,2085.9375,457.03125,1
44.873405,-2.2017474,-3.0778117,2008.7747,0.35915684700012207,1.5655417,4.0112557,1.4901614,5.9774184,0.19849883,48115.66015625,31214.828125,10207.28515625,35.15625,2085.9375,445.3125,1
43.653248,-4.917401,-3.8814116,1881.4252,0.4735982418060303,2.1119618,4.123375,1.5383544,6.3432117,0.2235368,46003.2421875,25787.04296875,11239.4150390625,35.15625,2085.9375,468.75,1
42.52954,4.272657,-1.2285225,1790.5063,0.7188469171524048,1.8241973,4.2323217,1.5728726,6.6569033,0.24619266,62289.48046875,19536.35546875,8809.619140625,46.875,2074.21875,492.1875,1
30.545923,-5.406831,-4.2091208,903.8195,0.9154043197631836,3.4798126,3.716638,1.5928681,5.920114,0.3087142,45178.078125,8026.37109375,6688.8466796875,35.15625,234.375,492.1875,1
29.628359,-1.925643,-0.5329474,874.1316,0.7194992303848267,3.3998585,3.8317392,1.6561006,6.3457456,0.3547005,50664.15625,6157.33203125,5886.1416015625,35.15625,492.1875,234.375,1
29.405075,0.10822964,-0.101204485,864.64667,0.5554540157318115,3.3554292,3.860835,1.6857966,6.5085826,0.37313783,45279.68359375,8434.4326171875,6474.47119140625,35.15625,234.375,492.1875,1
33.784485,-13.919382,-0.76889515,947.6422,-1.699520468711853,2.8440485,0.9271988,1.698434,1.574786,0.07916859,29894.337890625,6185.26904296875,6052.51953125,70.3125,234.375,503.90625,1
