TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
77241,1172,670,6166,1819,1101,380
77241,1172,670,6166,1819,1105,380
70355,1173,264,6167,1819,1104,380
70355,1173,7568,6167,1819,1102,379
70355,1173,670,6167,1819,1103,380
70355,1173,670,6167,1819,1104,380
70369,1172,265,6167,1819,1103,379
70369,1172,7563,6166,1819,1102,380
70369,1172,670,6167,1819,1104,379
70369,1172,668,6166,1819,1101,379
79602,1172,264,6167,1818,1100,380
79602,1172,7562,6166,1819,1103,379
79602,1172,677,6167,1819,1105,380
79602,1172,676,6167,1819,1105,379
70882,1172,265,6166,1819,1105,380
70882,1172,7567,6166,1819,1103,381
70882,1172,669,6167,1819,1103,379
70882,1172,669,6167,1819,1104,380
75748,1171,264,6166,1819,1104,379
75748,1171,7563,6167,1819,1103,380
75748,1171,669,6166,1819,1102,380
75748,1171,670,6167,1819,1102,380
70343,1172,264,6167,1819,1103,379
70343,1172,7562,6166,1819,1101,380
70343,1172,671,6167,1819,1102,379
70343,1172,2454,6168,1818,1103,380
75760,1172,264,6167,1819,1104,380
75760,1172,7571,6166,1818,1102,379
75760,1172,669,6167,1819,1105,380
75760,1172,677,6167,1819,1104,380
77227,1172,264,6166,1819,1101,379
77227,1172,7570,6167,1819,1105,380
77227,1172,675,6168,1818,1100,381
77227,1172,672,6167,1819,1101,380
70305,1172,264,6167,1819,1103,380
70305,1172,7566,6167,1819,1101,380
70305,1172,671,6166,1819,1104,380
70305,1172,677,6167,1819,1103,379
70319,1172,264,6166,1819,1102,380
70319,1172,7570,6166,1819,1103,382
70319,1172,2464,6166,1819,1104,380
70319,1172,668,6166,1819,1105,380
70345,1172,263,6166,1819,1104,380
70345,1172,7569,6167,1818,1103,379
70345,1172,669,6166,1819,1102,380
70345,1172,670,6167,1819,1102,379
70331,1171,264,6166,1819,1104,380
70331,1171,7565,6167,1819,1102,379
70331,1171,670,6166,1819,1102,379
70331,1171,669,6167,1819,1105,380
70333,1172,264,6167,1819,1104,380
70333,1172,7563,6166,1818,1101,378
70333,1172,670,6167,1819,1104,380
70333,1172,669,6167,1818,1107,380
79574,1173,264,6167,1819,1104,380
79574,1173,7570,6167,1819,1105,381
79574,1173,675,6167,1818,1103,382
79574,1173,678,6166,1819,1103,380
70306,1172,265,6167,1819,1101,379
70306,1172,7568,6166,1819,1103,380
70306,1172,669,6167,1819,1100,380
70306,1172,672,6167,1819,1102,380
82807,1172,264,6167,1819,1101,379
82807,1172,7562,6168,1818,1102,379
82807,1172,671,6167,1819,1104,380
82807,1172,676,6166,1819,1105,380
70331,1172,264,6167,1819,1104,380
70331,1172,7566,6167,1819,1104,383
70331,1172,677,6166,1819,1104,379
70331,1172,2462,6168,1818,1105,380
70231,1173,264,6167,1819,1104,380
70231,1173,7571,6167,1819,1101,380
70231,1173,671,6167,1819,1104,381
70231,1173,668,6166,1819,1104,380
70244,1172,265,6166,1819,1103,380
70244,1172,7567,6167,1819,1104,380
70244,1172,676,6166,1819,1103,379
70244,1172,669,6167,1819,1105,378
70357,1171,264,6166,1819,1103,379
70357,1171,7565,6167,1819,1102,380
70357,1171,670,6167,1819,1104,379
70357,1171,668,6168,1818,1103,379
70244,1172,264,6167,1819,1104,379
70244,1172,7566,6167,1818,1102,379
70244,1172,2456,6166,1819,1103,380
70244,1172,669,6167,1819,1104,379
70242,1172,264,6166,1819,1102,379
70242,1172,7567,6166,1819,1102,379
70242,1172,669,6167,1819,1103,379
70242,1172,669,6168,1818,1104,379
70254,1172,264,6166,1818,1104,380
70254,1172,7564,6166,1819,1105,379
70254,1172,676,6166,1819,1103,380
70254,1172,669,6167,1819,1103,380
77178,1172,264,6167,1819,1102,381
77178,1172,7568,6167,1819,1101,380
77178,1172,671,6166,1819,1103,379
77178,1172,669,6166,1819,1104,380
75885,1171,264,6166,1819,1102,379
75885,1171,9352,6166,1819,1099,380
75885,1171,672,6167,1819,1103,378
75885,1171,669,6166,1819,1105,380
70332,1171,263,6166,1818,1102,381
70332,1171,7566,6166,1819,1103,380
70332,1171,670,6167,1819,1103,380
70332,1171,669,6167,1819,1103,380
70332,1172,264,6166,1819,1102,379
70332,1172,7566,6167,1818,1106,378
70332,1172,675,6167,1819,1102,380
70332,1172,669,6166,1819,1102,380
70331,1171,264,6167,1819,1102,380
70331,1171,7567,6167,1819,1105,380
70331,1171,676,6167,1819,1104,379
70331,1171,668,6166,1819,1103,379
79501,1171,264,6166,1819,1103,380
79501,1171,7565,6166,1818,1104,379
79501,1171,676,6166,1819,1104,379
79501,1171,668,6168,1818,1103,380
70393,1172,264,6167,1819,1101,379
70393,1172,7566,6167,1819,1105,379
70393,1172,668,6167,1819,1105,381
70393,1172,676,6167,1819,1104,381
70305,1172,265,6166,1819,1104,379
70305,1172,7565,6167,1819,1102,382
70305,1172,679,6167,1819,1105,380
70305,1172,675,6166,1818,1104,379
77266,1172,264,6167,1819,1105,379
77266,1172,7569,6166,1819,1102,379
77266,1172,670,6167,1819,1102,380
77266,1172,2455,6167,1819,1103,381
75184,1172,264,6166,1819,1102,380
75184,1172,7566,6166,1819,1103,379
75184,1172,677,6166,1819,1102,381
75184,1172,670,6167,1819,1104,380
79725,1172,265,6167,1819,1102,380
79725,1172,7567,6168,1818,1104,380
79725,1172,677,6167,1819,1102,380
79725,1172,669,6167,1819,1103,380
70331,1171,263,6167,1819,1103,379
70331,1171,7566,6167,1819,1103,381
70331,1171,677,6166,1819,1104,380
70331,1171,668,6167,1819,1105,380
70396,1172,264,6166,1819,1106,380
70396,1172,7568,6167,1819,1107,381
70396,1172,2460,6167,1819,1106,379
70396,1172,675,6167,1819,1104,380
70330,1172,265,6167,1819,1105,379
70330,1172,7565,6167,1818,1104,380
70330,1172,669,6166,1819,1100,380
70330,1172,672,6167,1819,1103,379
70280,1172,264,6167,1818,1103,381
70280,1172,7565,6167,1819,1105,379
70280,1172,677,6167,1819,1106,379
70280,1172,676,6167,1819,1104,379
70255,1171,264,6166,1819,1104,379
70255,1171,7570,6167,1819,1103,379
70255,1171,669,6168,1818,1104,379
70255,1171,667,6166,1820,1102,380
77265,1172,264,6166,1818,1102,380
77265,1172,9351,6167,1819,1103,379
77265,1172,670,6167,1819,1104,379
77265,1172,669,6166,1819,1105,379
75748,1172,265,6167,1819,1103,379
75748,1172,7566,6167,1819,1105,382
75748,1172,676,6166,1819,1103,380
75748,1172,669,6167,1819,1106,380
70409,1172,264,6167,1819,1104,380
70409,1172,7566,6167,1819,1104,379
70409,1172,677,6167,1819,1105,380
70409,1172,677,6167,1818,1104,379
70407,1171,264,6166,1819,1102,380
70407,1171,7569,6166,1818,1103,379
70407,1171,670,6166,1819,1101,380
70407,1171,670,6166,1819,1104,380
79476,1172,265,6167,1819,1103,379
79476,1172,7565,6167,1818,1106,382
79476,1172,675,6167,1819,1102,380
79476,1172,669,6167,1819,1104,379
70332,1172,264,6168,1818,1104,380
70332,1172,7565,6167,1819,1105,380
70332,1172,676,6166,1819,1106,379
70332,1172,675,6167,1819,1106,379
70294,1172,264,6167,1819,1103,380
70294,1172,7569,6166,1819,1103,379
70294,1172,669,6167,1819,1101,380
70294,1172,671,6167,1819,1104,380
70291,1172,264,6166,1819,1103,379
70291,1172,7570,6167,1818,1104,379
70291,1172,668,6167,1819,1102,380
70291,1172,2456,6167,1819,1103,379
77266,1172,264,6167,1819,1102,381
77266,1172,7566,6166,1819,1103,379
77266,1172,668,6167,1819,1103,380
77266,1172,670,6167,1819,1103,379
70344,1173,264,6167,1819,1102,379
70344,1173,7563,6166,1819,1101,380
70344,1173,671,6167,1819,1104,380
70344,1173,669,6167,1819,1103,381
75923,1171,263,6166,1819,1102,380
75923,1171,7565,6166,1819,1101,379
75923,1171,670,6167,1819,1104,379
